alpha,beta,rho,sigma_M,sigma_R,ll_par,ll_rw,lrt
-0.9947510009680798,0.9984478375077527,0.6570136729856156,0.4405219880607261,0.8819509715276439,-3501.967500688842,-3503.5089960180317,-1.541495329189729
1.5951525720155786,0.9994027564358668,-0.8626235969272599,0.0001,1.0056913671250007,-3561.407244916638,-3561.406902440747,0.00034247589064761996
-1.228339424372436,1.0041166482901056,-0.007999789814206126,0.0001,0.9952311259928754,-3523.7182173971664,-3523.690066115834,0.02815128133261169
0.3540671432884608,0.9869107270348706,0.19209458903252893,0.21276908416706583,0.9838479536647821,-3562.449756345477,-3563.9510877944176,-1.5013314489406184
0.423091142899537,1.0024907183732348,0.7749905138054066,0.28001692216206986,0.9720305950476072,-3569.922806952325,-3571.4992718021786,-1.576464849853437
-1.7642383427754993,1.0175494601272783,-0.6011061466080089,0.0001,0.9915949431258809,-3524.834374452683,-3524.834374051131,4.015519152744673e-07
3.1022500396364165,0.9823001634855852,0.9948672494730215,0.8295963887965198,0.5421557273122675,-3520.8769414543012,-3521.1385087428193,-0.2615672885181084
-1.4384864471806367,0.9981702854455384,0.07432506082250043,0.0001,1.0197994129622878,-3596.699423581117,-3596.6987835522314,0.000640028885754873
-0.11918180393367095,1.000900217864103,0.9031901355339198,0.4115349844376954,0.8883284892105953,-3492.4431885439863,-3493.1411227253,-0.6979341813139399
0.747337671270202,0.999688861278598,0.9848335229256499,0.5197354062938123,0.8457715231361276,-3525.2387161112392,-3527.1874300030922,-1.9487138918530036
-0.4022774358586787,0.9958295367497331,0.4964934987619767,0.2882572665301263,0.9475660542408487,-3521.3724016233455,-3524.6338639940896,-3.261462370744084
1.0304658070655874,1.003054355716663,1.0,0.7311060851694925,0.6399450749417681,-3472.2831585603863,-3472.28364155556,-0.0004829951735700888
-0.190871392952659,0.997113840439123,0.998740074566612,0.830128309857459,0.5959611517638804,-3603.562620281444,-3603.830456245931,-0.2678359644869488
-0.2947225606794826,1.0040980219496782,0.9995024494913449,0.813691421045459,0.5719763869768041,-3528.8855467411995,-3528.906383203188,-0.020836461988437804
-1.000487125938455,1.0048823695876734,0.9825504869336973,0.6287905188778509,0.7740523361839015,-3536.932549227048,-3537.266130314497,-0.3335810874486924
1.0928123149884974,1.0061888144708002,0.8905241091729627,0.5081774024936072,0.8537954436872761,-3527.4829150839932,-3528.9726676682994,-1.4897525843061885
-0.29362914250144495,1.0042808111519124,0.7025847526091427,0.487240268383995,0.8671372967150405,-3525.057964159102,-3527.0596240816603,-2.0016599225582468
-0.19546507438350602,0.9987204571853556,0.7161491962330032,0.217422920551658,0.9834864603305168,-3565.5630875527977,-3566.3351218092566,-0.7720342564589373
0.31156559059910194,0.9983401355756246,0.2866912076549942,0.15235875374574878,0.9686735435413489,-3484.426364473873,-3484.5226695467672,-0.09630507289421075
-1.0462138034359327,1.0017308468305612,0.75108147926721,0.45970179862577365,0.8670453774018547,-3499.4078262459884,-3501.0927712189864,-1.6849449729979824
0.7754932604689913,1.0000997019196338,1.0,0.0001,0.981164713907153,-3501.306958333304,-3501.304899613292,0.0020587200119734916
0.7812360775892415,0.9980514001072521,-0.8308725353985849,0.019941435804080823,0.9864097110670693,-3519.036073694307,-3519.1347046309365,-0.09863093662943356
0.3149552819347008,0.9931869196893461,-1.0,0.00018085157025089923,0.9967698038194728,-3531.9862581961097,-3532.1132581075944,-0.1269999114847451
-1.716507509053102,1.0295942338796096,0.40026732800700854,0.271264841914158,0.972538910798218,-3567.6349133598296,-3569.4987738183268,-1.863860458497129
-0.44311386125299634,1.001997494864326,-0.028649167486599684,0.16117737710956634,0.9694585989568607,-3506.1028623558486,-3507.2207359612285,-1.1178736053798275
1.0979248713733512,0.9850796013906074,0.693232999386713,0.13482303719084496,1.0063589046482446,-3576.833648547742,-3576.981805978594,-0.14815743085182476
-0.03377193633681941,1.0002177748648533,-0.05597587152279298,0.07796776669623488,1.0032057059374684,-3555.556907876654,-3555.6009623929895,-0.044054516335563676
0.8994328837894017,0.9946341101959584,0.998491650070116,0.6292415394895109,0.7719921410882015,-3535.8792837603187,-3536.0786124903207,-0.19932873000198015
-2.0169376600996856,1.005032220227202,1.0,0.4647202785054175,0.8902679350278799,-3556.418523300209,-3556.432105625034,-0.013582324825165415
-0.2622344227800113,0.9968798572061873,0.5777251204009978,0.0001,0.994094791636632,-3524.521900578775,-3524.512133178151,0.00976740062378667
-0.1385852571340665,0.9954108587566964,-0.769778412123649,0.025702632119817104,0.9984658607099505,-3539.403957917656,-3539.5424093111114,-0.13845139345539792
-1.1913034113807441,1.0054108810242135,0.18277703055407613,0.0001,1.0154624528465601,-3579.988183480509,-3579.983164833357,0.005018647152155609
-0.33030660283668734,0.9983126750510308,1.0,0.8169289443947453,0.5802821323343758,-3551.025699174843,-3551.032045418564,-0.006346243721054634
0.502172862645185,0.9981941529092119,0.22379569588051682,0.18640994886115853,0.9797011660966437,-3537.5518793307115,-3538.79778891814,-1.2459095874287414
-0.8133699720116723,1.0107664888268668,1.0,0.743071946850741,0.6634488652803017,-3535.875251758273,-3535.906998402995,-0.03174664472226141
-0.15077545970666506,1.0063990915316585,0.9952061815809742,0.67782667846249,0.744625394207244,-3544.4492059723448,-3544.802672568189,-0.353466595844111
-1.553384404984314,1.0118205942749514,0.1805312903054679,0.17437181352032333,0.9726652812655239,-3505.5818061038053,-3506.541670340266,-0.9598642364608168
1.51600575843338,1.0013131580387205,-0.6044276165121729,0.0001,0.9787005478112498,-3494.8754067619157,-3494.8740538310503,0.0013529308653232874
1.105139747282493,1.0016250637961268,-0.8615310188368706,0.0001,1.0177082585508728,-3590.949985508796,-3590.949703606401,0.00028190239527248195
0.27874137341433713,1.0045339877313135,0.9533665704923004,0.5717528479682622,0.8272263639824119,-3554.8168821299823,-3555.9210219048377,-1.1041397748554118
-0.5736611996381248,0.9976259818324933,1.0,0.49394292105779525,0.8635834596899534,-3533.0458458893045,-3533.0730576511332,-0.027211761828766612
0.780206049637724,0.995831830993074,0.9990694986344705,0.9379857550326064,0.4083446837751981,-3602.8962255825077,-3603.213789378011,-0.3175637955032471
-0.7133650300808085,1.0198215831678574,1.0,0.0001,0.9734061528824353,-3480.1662349840553,-3480.1657912575192,0.00044372653610480484
0.27721808857562497,0.9982259317737886,0.5365976565271221,0.0001,0.9936755839831087,-3531.164759198258,-3531.164536419269,0.00022277898870015633
1.3767378591798831,1.0085035645579685,-0.0054186609301484,0.0001,0.9754873450924001,-3487.3762362242296,-3487.3741037102222,0.0021325140073713555
-1.1120771965844938,1.010087724880475,-0.0977466859322783,0.2194699258790478,0.9951340891519525,-3584.2757081727314,-3585.1019707531636,-0.8262625804322852
-1.8734784648638083,1.0087824275795423,0.9978927160635882,0.9937850878454368,0.0001,-3528.4148107858846,-3529.7463919060356,-1.331581120150986
-0.17721124646533326,1.0046665206829388,0.5632148397258686,0.0001,1.0002328008706738,-3540.598938809008,-3540.5914496437135,0.007489165294373379
